Supplier Name,Product,Category,Contact Number,Email
Supplier1,ProductA,Electronics,123-456-7890,supplier1@example.com
Supplier2,ProductB,Home and Kitchen,987-654-3210,supplier2@example.com
Supplier3,ProductC,Apparel,555-123-4567,supplier3@example.com
Supplier4,ProductD,Electronics,333-444-5555,supplier4@example.com
Supplier5,ProductE,Home and Kitchen,777-888-9999,supplier5@example.com
Supplier6,ProductF,Apparel,111-222-3333,supplier6@example.com
Supplier7,ProductG,Electronics,444-555-6666,supplier7@example.com
Supplier8,ProductH,Home and Kitchen,666-777-8888,supplier8@example.com
Supplier9,ProductI,Apparel,999-000-1111,supplier9@example.com
Supplier10,ProductJ,Electronics,222-333-4444,supplier10@example.com
Supplier11,H,Testing,131313,rayen@gmail.com
Supplier1,Halwa,Electronics,123-456-7890,supplier1@example.com
